// Aura
// Database file
// 
// Values: itemId, [name], propId, giantPropId, [effect]
//---------------------------------------------------------------------------

[
{ itemId: 50906, name: "Caravan Joe Tea Table", propId: 44744, giantPropId: 44745 },
{ itemId: 50907, name: "Melodious Music Box", propId: 45408, giantPropId: 0 },
{ itemId: 50908, name: "Gold Podium", propId: 44603, giantPropId: 44603 },
{ itemId: 50909, name: "Silver Podium", propId: 44604, giantPropId: 44604 },
{ itemId: 50910, name: "Bronze Podium", propId: 44605, giantPropId: 44605 },
{ itemId: 50911, name: "The 4th grade Podium", propId: 44608, giantPropId: 44608 },
{ itemId: 50921, name: "Camp Bed", propId: 45480, giantPropId: 45481 },
{ itemId: 50935, name: "Tropical Kiddie Pool", propId: 45492, giantPropId: 45492 },
{ itemId: 50936, name: "Tropical Beach Umbrella", propId: 45519, giantPropId: 45519 },
{ itemId: 50937, name: "Tropical Pineapple Drink Stand", propId: 45524, giantPropId: 45524 },
{ itemId: 50938, name: "Tropical Pineapple Beach Tube", propId: 45523, giantPropId: 45523 },
{ itemId: 50939, name: "Pink Bean Chair", propId: 45572, giantPropId: 45571 },
{ itemId: 50940, name: "Kokopo Chair", propId: 45589, giantPropId: 45589 },
{ itemId: 50941, name: "Conductor's Podium", propId: 45632, giantPropId: 45633 },
{ itemId: 50942, name: "Hipster Musician's Oak Barrel", propId: 45630, giantPropId: 45631 },
{ itemId: 50943, name: "Busking Chair", propId: 45638, giantPropId: 45639 },
{ itemId: 50944, name: "Tap Dance Floor Board", propId: 45635, giantPropId: 45636 },
{ itemId: 50945, name: "Milky Way Music Box", propId: 45637, giantPropId: 0 },
{ itemId: 50946, name: "Elephant Chair", propId: 45661, giantPropId: 45661 },
{ itemId: 50951, name: "Ice Forest Throne", propId: 45746, giantPropId: 45747 },
{ itemId: 50952, name: "Dead Forest Throne", propId: 45748, giantPropId: 45749 },
]
